Market_name,Category_name,Product_name,Product_description,Product_unit_type,Product_quantity,Product_price,Product_branch,Scrape_timestamp,website
Pedidos Ya Lince,Abarrotes,Ketchup A La Cena Doy Pack 380 G,,g,380.0,10.2,A La Cena,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pack X6 Atún Fanny Trozos En Aceite Vegetal 140 G,,g,140.0,41.4,Fanny,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Fanny Doypack Mermelada 700 g,,g,700.0,10.9,Fanny,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Fanny Mermelada Fresa Barril 950g,,g,950.0,15.0,Fanny,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Cocktail De Frutas Fanny 820Gr,,g,820.0,20.9,Fanny,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Mermelada Fanny Fresa 950 g,,g,950.0,15.9,Fanny,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Ajinomen Sabor Carne Vaso 51g,,g,51.0,3.8,Aji-No-Men,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Ajinomen Sabor Pollo 51g,Contiene 51 gramos.Sopa instantánea con fideos.Sabor: Pollor.Lista en 3 minutos,g,51.0,3.8,Aji-No-Men,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Mermelada De Fresa Deli Fanny Doypack 700 Gr,,g,700.0,8.9,Fanny,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pack 2 Fideo Don Vittorio Spaghetti 450 g,,g,450.0,10.4,Don Vittorio,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Ajo Molido Piki Doypack 120G,,g,120.0,4.1,Piki,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Bonle Manjarblanco Sachet X 200 Gr,,g,200.0,5.5,Bonlé,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Café Istantaneo Altomayo Gourmet Doypack 45 G,,g,45.0,8.5,Altomayo,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Vinagre Florida Blanco 1 lt,,l,1.0,5.5,Florida,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Tallarin Instantáneo Saltado Ajinomen Sobre 100 g,,g,100.0,2.2,Aji-No-Men,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Arroz Valle Norte Superior Bolsa 750 g,,g,750.0,4.5,Valle Norte,2024-12-09 02:20:17.246573,Pedidos Ya
