Market_name,Category_name,Product_name,Product_description,Product_price,Scrape_timestamp,Product_unit_type,Product_quantity,Product_branch
Pedidos Ya Lince,Abarrotes,Gelatina Laive Sabor Piña Yopi Fourpack 120G,,9.2,2024-12-04 02:14:47.299084,g,480.0,Laive
Pedidos Ya Lince,Abarrotes,Pasta Lasagna Clásica Molitalia Caja 350 g,,6.9,2024-12-04 02:14:47.299084,g,350.0,Molitalia
Pedidos Ya Lince,Abarrotes,Cereal Bar Gold,Contiene 12 barras de cereal.Sabor miel con leche.Contenido: 252 g,7.2,2024-12-04 02:14:47.299084,un,1.0,Costa
Pedidos Ya Lince,Abarrotes,Arroz Superior Paisana Bolsa 1 kg,,5.5,2024-12-04 02:14:47.299084,kg,1.0,Paisana
Pedidos Ya Lince,Abarrotes,Pre Mezcla Molitalia Keke Vainilla 450 gr,,9.5,2024-12-04 02:14:47.299084,g,500.0,Molitalia
Pedidos Ya Lince,Abarrotes,Premezcla Torta De Chocolate Molitalia Paquete 500 g,,9.5,2024-12-04 02:14:47.299084,g,500.0,Molitalia
Pedidos Ya Lince,Abarrotes,Sazonador de Pop Corn Sabor Mantequilla Costeño Pops 81g,Contiene 81 gramos.Sazonador en polvo de pop corn.Sabor: Mantequilla,11.9,2024-12-04 02:14:47.299084,g,81.0,Costeño
Pedidos Ya Lince,Abarrotes,Pack 2 Maíz Pop Corn Costeño Bolsa 500 g,,11.8,2024-12-04 02:14:47.299084,g,500.0,Costeño
Pedidos Ya Lince,Abarrotes,Harina Molitalia Repostera 1Kg,,9.9,2024-12-04 02:14:47.299084,kg,1.0,Molitalia
Pedidos Ya Lince,Abarrotes,Azúcar Rubia Costeño 750gr,,6.5,2024-12-04 02:14:47.299084,g,750.0,Costeño
Pedidos Ya Lince,Abarrotes,Trigo Mote Costeño Bolsa 500G,,5.2,2024-12-04 02:14:47.299084,g,500.0,Costeño
Pedidos Ya Lince,Abarrotes,Arroz Añejo Costeño 5 kg,Contiene 5 kilos.Arroz añejado.Variedad: Extra,28.5,2024-12-04 02:14:47.299084,kg,5.0,Costeño
Pedidos Ya Lince,Abarrotes,Pack 6 Trozos Atún Primor 140 g,,39.0,2024-12-04 02:14:47.299084,g,140.0,Primor
Pedidos Ya Lince,Abarrotes,Sopa Instantánea Ajinomen Sabor a Gallina Picante Vaso 51 g,,3.8,2024-12-04 02:14:47.299084,g,51.0,Aji-No-Men
Pedidos Ya Lince,Abarrotes,Bolsa Manjar 500 G Nestle,"Manjar Tradicional NESTLÉ® Bolsa, el más rico para panqueques, dulces y tortas. Sin gluten. 500g",13.9,2024-12-04 02:14:47.299084,g,500.0,Nestle
Pedidos Ya Lince,Abarrotes,Sal de Cocina Marina Emsal Bolsa 1 kg,,2.9,2024-12-04 02:14:47.299084,kg,1.0,Emsal
Pedidos Ya Lince,Abarrotes,Pack 2 Aceite Primor Vegetal Premium 900 ml,,22.0,2024-12-04 02:14:47.299084,ml,900.0,Primor
Pedidos Ya Lince,Abarrotes,Arroz Extra Paisana Bolsa 5 Kg,,25.9,2024-12-04 02:14:47.299084,kg,5.0,Paisana
Pedidos Ya Lince,Abarrotes,Barras De Cereal Manzana-Canela Cereal Bar Costa18 Gr.,Cantidad: 12 unidades.Barras de cereales con manzana y canela.Fuente de 6 vitaminas y hierro,7.2,2024-12-04 02:14:47.299084,g,18.0,Costa
Pedidos Ya Lince,Abarrotes,Aceite Vegetal Costeño 900 ML,,9.9,2024-12-04 02:14:47.299084,ml,900.0,Costeño
Pedidos Ya Lince,Abarrotes,Mayonesa Alacena 190G,Contiene 190 gramos.Salsa de mesa.Con un toque de limón,9.5,2024-12-04 02:14:47.299084,g,190.0,A La Cena
Pedidos Ya Lince,Abarrotes,Azúcar Rubia Dulfina Bolsa 5 kg,,22.9,2024-12-04 02:14:48.975718,kg,5.0,Dulfina
Pedidos Ya Lince,Abarrotes,Barras De Cereales Arándanos Cereal Bar Caja 8 Unid,Cantidad: 12 unidades.Barras de cereales con arándanos.Fuente de 6 vitaminas y hierro,7.2,2024-12-04 02:14:48.975718,un,8.0,Costa
Pedidos Ya Lince,Abarrotes,Frijol Panamito Costeño Bosa 500 g,Contiene 500 gramos,8.0,2024-12-04 02:14:48.975718,g,500.0,Costeño
Pedidos Ya Lince,Abarrotes,Arroz Integral Costeño Bolsa 750G,,5.7,2024-12-04 02:14:48.975718,g,750.0,Costeño
Pedidos Ya Lince,Abarrotes,Leche Condensada Topping Tarro Nestlé 297 g,,5.5,2024-12-04 02:14:48.975718,g,297.0,Nestle
Pedidos Ya Lince,Abarrotes,Azucar Costeño Blanca 1 kg,,7.5,2024-12-04 02:14:48.975718,kg,1.0,Costeño
Pedidos Ya Lince,Abarrotes,Garbanzos Costeño Bolsa 500 g,Contiene 500 gramos,6.9,2024-12-04 02:14:48.975718,g,500.0,Costeño
Pedidos Ya Lince,Abarrotes,Fideo Linguini Grosso Don Vittorio 950g,Contiene 950 gramos.Pasta de trigo.Tipo: Linguini Grosso,7.9,2024-12-04 02:14:48.975718,g,950.0,Don Vittorio
Pedidos Ya Lince,Abarrotes,Frijol Canario COSTEÑO Bolsa 500g,Contiene 500 gramos,11.5,2024-12-04 02:14:48.975718,g,500.0,Costeño
Pedidos Ya Lince,Abarrotes,Cereal Nestlé Chocapic Mini 330 G,"Harina integral de trigo, vitaminas del grupo B, minerales, cacao en polvo, cebada, leche descremada en polvo, aceite vegetal y carbonato de calcio. Fuente de nutrientes esenciales para tu dieta diaria.",16.9,2024-12-04 02:14:48.975718,g,330.0,Nestle
