categoria,description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
YOGUR MIXTO EN VASO,Yogurt Frutado DANLAC Fresa Frasco 160g,,160.0,g,4.2,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,160.0,g,4.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Griego Vakimu Frutos del Bosque 160g,,160.0,g,4.4,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,160.0,g,4.4,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Griego Vakimu Frutos del Bosque 160g,,160.0,g,4.4,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,160.0,g,4.4,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Vakimu +Pro Fresa 160g,,160.0,g,4.79,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,160.0,g,4.79,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Vakimu +Pro Arándano 160g,,160.0,g,4.88,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,160.0,g,4.88,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Vakimu +Pro Arándano 160g,,160.0,g,4.88,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,160.0,g,4.88,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Premium Tigo Light Natural Vaso 160 g,,160.0,g,5.2,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,160.0,g,5.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Premium Tigo Light Fresa Vaso 160 g,,160.0,g,5.2,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,160.0,g,5.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Frutado Danlac Maracumango 160g,,160.0,g,5.4,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,160.0,g,5.4,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Griego Danlac Sabor Natural Frasco 160g,,160.0,g,5.5,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,160.0,g,5.5,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Griego DANLAC Natural Frasco 160g,,160.0,g,5.5,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,160.0,g,5.5,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Frutado con Aguaymanto Danlac 160g,,160.0,g,5.5,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,160.0,g,5.5,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Frutado con Frutos del Bosque Danlac 160g,,160.0,g,5.5,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,160.0,g,5.5,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Frutado con Fresa Danlac 160g,,160.0,g,5.5,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,160.0,g,5.5,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Griego Tigo Natural con Fresas y Granola Vaso 155 g,,155.0,g,5.7,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,155.0,g,5.7,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Gloria Natural Botella 1kg,,1.0,kg,5.9,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,1.0,kg,5.9,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt VAKIMU +Pro Sabor a Fresa Pote 160g,,160.0,g,5.99,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,160.0,g,5.99,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Zero Lactosa GLORIA Sabor a Vainilla B...,,1.0,kg,5.99,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,1.0,kg,5.99,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Gloria Lúcuma Botella 1kg,,1.0,kg,5.99,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,1.0,kg,5.99,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible GLORIA sin Lactosa Fresa Botell...,,1.0,kg,5.99,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,1.0,kg,5.99,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Gloria Durazno Botella 1kg,,1.0,kg,5.99,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,1.0,kg,5.99,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt VAKIMU +Pro Sabor Arándanos Pote 160g,,160.0,g,6.1,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,160.0,g,6.1,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible GLORIA Sabor a Durazno Botella ...,,1.0,kg,6.2,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,1.0,kg,6.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible GLORIA Sabor a Lúcuma Botella 1...,,1.0,kg,6.2,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,1.0,kg,6.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible GLORIA Sabor a Tutifruti Botell...,,1.0,kg,6.2,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,1.0,kg,6.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt GLORIA Natural Botella 1Kg,,1.0,kg,6.2,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,1.0,kg,6.2,YOGUR MIXTO EN VASO
