Market_name,Market_cat_name,Market_subcat_name,Product_name,Product_price,Product_description,Product_unit_type,Product_quantity,Product_type,Product_is_available,Product_branch,scrape_timestamp
Oxxo,Snacks Y Galletas,Galletas,field galletas mini wafer recubiertas de chocolate cua cua,2.5,"Deliciosas galletasa mini waffer rellenas con crema sabor vainilla bañadas en chocolate. Tienen el tamaño ideal para llevar en tu bolso o mochila. Perfectas para disfrutar como colación en el colegio, trabajo o en cualquier otro momento. ",gr,42.0,none,True,field,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Galletas,picaras galleta clásica,1.0,Bañadas Con Cobertura Sabor a Chocolate.,gr,38.0,none,True,picaras,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Galletas,sublime galleta de chocolate con maní,2.5,"Es una tableta de chocolate, que se caracteriza por su contenido de maní. Tiene un peso de 30 gramos. A lo largo de toda su historia este delicioso chocolate ha variado en forma, tamaño y color, pero ha seguido manteniendo ese sabor que lo caracteriza.",gr,28.0,none,True,sublime,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Galletas,morochas galleta sabor vainilla con chocolate,2.0,"Poseen una receta inigualable de textura y sabor que resulta un nutritivo y único mix de ingredientes, son una excelente fuente de energía que podrás disfrutar en cualquier momento del día.",gr,75.0,none,True,morochas,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Galletas,crackelet galleta sabor a jamón ahumado,1.9,"Tienen un sabor único a carne de cerdo, pero con la inconfundible frescura de las galletas hechas por Costa.",gr,47.0,none,True,crackelet,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Galletas,chips ahoy galletas tamaño mini con chips de chocolate,2.5,"Para que las disfrutes con un rico vaso de leche por las mañanas o por las noches, sin ningún remordimiento.",gr,50.0,none,True,chips ahoy,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Galletas,chips ahoy galleta con chips sabor a chocolate,2.4,"De Textura Crujiente y Por Los Trozos de Chocolate Que se Derriten al Morderlas, Proporcionando un Sabor Rico y Dulce.",gr,37.0,none,True,chips ahoy,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Galletas,pirucream barquillos rellenos de chocolate y avellanas,3.0,"Ideal para cada momento. Fabricados con los más frescos insumos y los más altos estándares de calidad. Perfectos para compartir en familia y entre amigos, comerlos solo o acompañado de postres, helados, café y demás.",gr,24.0,none,True,pirucream,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Galletas,costa galleta wafer sabor a chocolate,3.0,"Están hechas con doble crema en su interior, para una mejor explosión de sabores. Ideales para disfrutar en compañía de tu refresco favorito a cualquier hora del día.",gr,105.0,none,True,costa,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Galletas,chocobum galletas mini pop sabor a chocolate,1.9,Galletas recubiertas de dulce chocolate de leche. Ideales para recargar tus días de energía.,gr,55.0,none,True,chocobum,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Galletas,wafer cocosette galletas con relleno sabor a coco,2.3,Te conecta a través de una crujiente galleta tipo wafer con inigualable sabor a coco que crea el momento perfecto. Esta excelente combinación de sabores hará despertar tus sentidos y hacer de cada mordisco un momento ideal.,gr,50.0,none,True,wafer,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Galletas,chocodonuts galleta leche costa,1.2,Bolsa.,gr,33.0,none,True,nuts,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Galletas,pingüinos pastel cookies cream,4.0,Bolsa Con 2 Unidades.,gr,80.0,none,True,,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Galletas,sayon galletas tejanas sabor a chocolate,11.5,"Son una deliciosa combinación de tradición y indulgencia. Estas galletas tejanas, conocidas por su textura crujiente y sabor inconfundible, se han elevado a nuevas alturas al fusionarse con la irresistible indulgencia del chocolate.",gr,480.0,none,True,sayon,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Barras De Cereal Y Granola,cereal bar barra de cereales chips de chocolate,1.0,"Rico cereal de bolsillo, con la siguiente ventaja: pesan poco, fáciles de transportar, no necesita refrigeración, se deshacen en la boca casi sin esfuerzo y se digieren fácilmente. Utilizarse como parte de un desayuno o merienda. Los chicos las prefieren.",gr,21.0,none,True,costa,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Barras De Cereal Y Granola,costa barra de cereal bar golden cereal,1.0,"Exquisita barra de cereales (maíz, trigo, arroz) con un delicioso sabor a miel con leche y una crocancia inolvidable, ideal para combatir el hambre en cualquier momento del día. Tiene vitaminas y minerales.",gr,21.0,none,True,costa,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Barras De Cereal Y Granola,barra de cereal granola fit chocolate delisha,5.9,BARRA DE CEREAL GRANOLA FIT CHOCOLATE DELISHA 60 G,gr,60.0,none,True,delisha,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Barras De Cereal Y Granola,cereal bar barra de chocolate,1.0,"Disfruta de un delicioso alimento de gran valor nutritivo, que agrega a la alimentación láctea, enriqueciendo su valor nutricional, es perfecto para endulzarte de manera saludable en cualquier momento del día.",gr,18.0,none,True,cereal bar,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Barras De Cereal Y Granola,barra de frutos secos bitter y sal delisha,6.2,BARRA DE FRUTOS SECOS BITTER Y SAL DELISHA 60 G,gr,60.0,none,True,delisha,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Barras De Cereal Y Granola,barra de cereal mani mantequilla de mani dyfferent 35 g,3.2,BARRA DE CEREAL MANI MANTEQUILLA DE MANI DYFFERENT 35 G ,gr,35.0,none,True,dyfferent,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Barras De Cereal Y Granola,barra de cereal maní chocolate dyfferent 35 g,3.2,BARRA DE CEREAL MANÍ CHOCOLATE DYFFERENT 35 G ,gr,35.0,none,True,dyfferent,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Barras De Cereal Y Granola,crosoy barra de cereal ajonjoli,1.2,Barra De Cereal Ajonjoli Crosoy 25 G,gr,25.0,none,True,crosoy,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Barras De Cereal Y Granola,crosoy barra de cereal maní ajonjolí,1.2,"Producto elaborado con ingredientes de origen natural, ideal para acompañar tus mejores momentos",gr,25.0,none,True,crosoy,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Barras De Cereal Y Granola,barra de cereal maní toffee dyfferent 35 g,3.2,BARRA DE CEREAL MANÍ TOFFEE DYFFERENT 35 G ,gr,35.0,none,True,dyfferent,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Barras De Cereal Y Granola,crosoy barra de cereal mani,1.2,Barra De Cereal Mani Crosoy 30 G,gr,30.0,none,True,crosoy,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Barras De Cereal Y Granola,vizzio tableta chocolate con leche crunch ,2.4,Tableta de chocolate con leche 100% real con trocitos de crujiente arroz tostado. Ideal para disfrutar en cualquier momento del día. ,gr,24.0,none,True,vizzio,2024-12-06 21:20:35.352878
