description,price,website,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
crickets chifle sabor a leche de tigre,S/ 9.0 und,Oxxo,2024-12-04 13:49:36.256702,150.0,gr,crickets chifle sabor a leche de tigre,9.0
los cuates picante - generic brand - 45 g,S/ 1.0 und,Oxxo,2024-12-04 13:49:36.256702,45.0,gr,los cuates picante generic brand,1.0
doritos tortillas de maíz queso atrevido 45gr ,S/ 3.3 und,Oxxo,2024-12-04 13:49:36.256702,45.0,gr,doritos tortillas de maíz queso atrevido,3.3
cheesetris snack queso,S/ 5.9 und,Oxxo,2024-12-04 13:49:36.256702,140.0,gr,cheesetris snack queso,5.9
inka chips papa crujientes sabor a queso y cebolla,S/ 8.9 und,Oxxo,2024-12-04 13:49:36.256702,135.0,gr,inka chips papa crujientes sabor a queso y cebolla,8.9
crickets chifle de plátano sabor leche de tigre,S/ 13.5 und,Oxxo,2024-12-04 13:49:36.256702,250.0,gr,crickets chifle de plátano sabor leche de tigre,13.5
pringles papa sola original,S/ 8.9 und,Oxxo,2024-12-04 13:49:36.256702,104.0,gr,pringles papa sola original,8.9
pringles papa crujiente crema y cebolla,S/ 8.9 und,Oxxo,2024-12-04 13:49:36.256702,109.0,gr,pringles papa crujiente crema y cebolla,8.9
galleta cream cracker field,S/ 6.9 und,Oxxo,2024-12-04 13:49:36.256702,258.0,gr,galleta cream cracker field,6.9
costa galleta gretel manjar,S/ 1.4 und,Oxxo,2024-12-04 13:49:36.256702,32.0,gr,costa galleta gretel manjar,1.4
ritz galletas saladas rollo sabor original 52.5 g,S/ 2.5 und,Oxxo,2024-12-04 13:49:36.256702,52.5,gr,ritz galletas saladas rollo sabor original,2.5
field galletas mini wafer recubiertas de chocolate cua cua,S/ 2.5 und,Oxxo,2024-12-04 13:49:36.256702,42.0,gr,field galletas mini wafer recubiertas de chocolate cua cua,2.5
picaras galleta clásica,S/ 1.0 und,Oxxo,2024-12-04 13:49:36.256702,38.0,gr,picaras galleta clásica,1.0
sublime galleta de chocolate con maní,S/ 2.5 und,Oxxo,2024-12-04 13:49:36.256702,28.0,gr,sublime galleta de chocolate con maní,2.5
chips ahoy galletas tamaño mini con chips de chocolate,S/ 2.5 und,Oxxo,2024-12-04 13:49:36.256702,50.0,gr,chips ahoy galletas tamaño mini con chips de chocolate,2.5
chocobum galletas mini pop sabor a chocolate,S/ 1.9 und,Oxxo,2024-12-04 13:49:36.256702,55.0,gr,chocobum galletas mini pop sabor a chocolate,1.9
chocodonuts galleta leche costa,S/ 1.2 und,Oxxo,2024-12-04 13:49:36.256702,33.0,gr,chocodonuts galleta leche costa,1.2
sayon galletas tejanas sabor a chocolate,S/ 11.5 und,Oxxo,2024-12-04 13:49:36.256702,480.0,gr,sayon galletas tejanas sabor a chocolate,11.5
crackelet galleta sabor a jamón ahumado,S/ 1.9 und,Oxxo,2024-12-04 13:49:36.256702,47.0,gr,crackelet galleta sabor a jamón ahumado,1.9
costa galleta wafer sabor a chocolate,S/ 3.0 und,Oxxo,2024-12-04 13:49:36.256702,105.0,gr,costa galleta wafer sabor a chocolate,3.0
choco galleta travesuras,S/ 2.2 und,Oxxo,2024-12-04 13:49:36.256702,50.0,gr,choco galleta travesuras,2.2
wafer cocosette galletas con relleno sabor a coco,S/ 2.3 und,Oxxo,2024-12-04 13:49:36.256702,50.0,gr,wafer cocosette galletas con relleno sabor a coco,2.3
pingüinos pastel cookies cream,S/ 4.0 und,Oxxo,2024-12-04 13:49:36.256702,80.0,gr,pingüinos pastel cookies cream,4.0
costa barra de cereal bar golden cereal,S/ 1.0 und,Oxxo,2024-12-04 13:49:36.256702,21.0,gr,costa barra de cereal bar golden cereal,1.0
cereal bar barra de cereales chips de chocolate,S/ 1.0 und,Oxxo,2024-12-04 13:49:36.256702,21.0,gr,cereal bar barra de cereales chips de chocolate,1.0
